MRT,Latitude,Longitude,Road_name,Building,Address,Postal
Commonwealth MRT Station,1.302501999,103.7982285,COMMONWEALTH AVENUE,COMMONWEALTH MRT STATION (EW20),375 COMMONWEALTH AVENUE COMMONWEALTH MRT STATION SINGAPORE 149735,149735
Buona Vista MRT Station,1.306275348,103.7903632,NORTH BUONA VISTA ROAD,BUONA VISTA MRT STATION,150 NORTH BUONA VISTA ROAD BUONA VISTA MRT STATION SINGAPORE 139350,139350
Dover MRT Station,1.311405293,103.7786378,COMMONWEALTH AVENUE WEST,DOVER MRT STATION (EW22),200 COMMONWEALTH AVENUE WEST DOVER MRT STATION SINGAPORE 138677,138677
Clementi MRT Station,1.315116253,103.7651915,COMMONWEALTH AVENUE WEST,CLEMENTI MRT STATION (EW23),3150 COMMONWEALTH AVENUE WEST CLEMENTI MRT STATION SINGAPORE 129580,129580
Chinese Garden MRT Station,1.342352821,103.7325967,BOON LAY WAY,CHINESE GARDEN MRT STATION (EW25),151 BOON LAY WAY CHINESE GARDEN MRT STATION SINGAPORE 609959,609959
Lakeside MRT Station,1.344259115,103.7209491,BOON LAY WAY,LAKESIDE MRT STATION (EW26),201 BOON LAY WAY LAKESIDE MRT STATION SINGAPORE 649845,649845
Boon Lay MRT Station,1.338604055,103.7060646,BOON LAY WAY,BOON LAY MRT STATION (EW27),301 BOON LAY WAY BOON LAY MRT STATION SINGAPORE 649846,649846
Pioneer MRT Station,1.337587011,103.6973216,JURONG WEST STREET 63,PIONEER MRT STATION (EW28),31 JURONG WEST STREET 63 PIONEER MRT STATION SINGAPORE 648310,648310
Joo Koon MRT Station,1.327717041,103.678375,JOO KOON CIRCLE,JOO KOON MRT STATION (EW29),91 JOO KOON CIRCLE JOO KOON MRT STATION SINGAPORE 629116,629116
Gul Circle MRT Station,1.319470901,103.6605305,TUAS ROAD,GUL CIRCLE MRT STATION (EW30),7A TUAS ROAD GUL CIRCLE MRT STATION SINGAPORE 637288,637288
Tuas Crescent MRT Station,1.321026956,103.6490782,PIONEER ROAD,TUAS CRESCENT MRT STATION (EW31),90 PIONEER ROAD TUAS CRESCENT MRT STATION SINGAPORE 639608,639608
Tuas West Road MRT Station,1.329985047,103.6396166,PIONEER ROAD,TUAS WEST ROAD MRT STATION (EW32),131 PIONEER ROAD TUAS WEST ROAD MRT STATION SINGAPORE 639609,639609
Tuas Link MRT Station,1.340882425,103.6369914,TUAS WEST DRIVE,TUAS LINK MRT STATION (EW33),20 TUAS WEST DRIVE TUAS LINK MRT STATION SINGAPORE 638418,638418
Expo MRT Station,1.335382526,103.9623747,EXPO DRIVE,EXPO MRT STATION (DT35),2 EXPO DRIVE EXPO MRT STATION SINGAPORE 485985,485985
Changi Airport MRT Station,1.357478974,103.9878836,AIRPORT BOULEVARD,CHANGI AIRPORT MRT STATION (CG2),70 AIRPORT BOULEVARD CHANGI AIRPORT MRT STATION SINGAPORE 819661,819661
